代號,簡稱,產業別,
3533,嘉澤,電子零組件業,上市
3535,晶彩科,光電業,上市
3537,堡達,電子零組件業,上櫃
3540,曜越,電腦及週邊設備業,上櫃
3541,西柏,其他電子業,上櫃
3543,州巧,光電業,上市
3545,敦泰,半導體業,上市
3546,宇峻,文化創意業,上櫃
3548,兆利,電子零組件業,上櫃
3550,聯穎,電子零組件業,上市
3551,世禾,綠能環保,上櫃
3552,同致,其他電子業,上櫃
3555,博士旺,半導體業,上櫃
3556,禾瑞亞,半導體業,上櫃
3557,嘉威,居家生活,上市
3558,神準,通信網路業,上櫃
3563,牧德,光電業,上市
3564,其陽,通信網路業,上櫃
3567,逸昌,半導體業,上櫃
3570,大塚,資訊服務業,上櫃
3576,聯合再生,光電業,上市
3577,泓格,電腦及週邊設備業,上櫃
3580,友威科,其他電子業,上櫃
3581,博磊,半導體業,上櫃
3583,辛耘,半導體業,上市
3587,閎康,其他電子業,上櫃
3588,通嘉,半導體業,上市
3591,艾笛森,光電業,上市
3592,瑞鼎,半導體業,上市
3593,力銘,電子零組件業,上市
3594,磐儀,電腦及週邊設備業,上櫃
3596,智易,通信網路業,上市
3597,映興,電子零組件業,上櫃
3605,宏致,電子零組件業,上市
3607,谷崧,電子零組件業,上市
3609,三一東林,電子零組件業,上櫃
3611,鼎翰,電腦及週邊設備業,上櫃
3615,安可,光電業,上櫃
3617,碩天,其他電子業,上市
3622,洋華,光電業,上市
3623,富晶通,光電業,上櫃
3624,光頡,電子零組件業,上櫃
3625,西勝,電腦及週邊設備業,上櫃
3628,盈正,其他電子業,上櫃
3629,地心引力,文化創意業,上櫃
3630,新鉅科,光電業,上櫃
3631,晟楠,電子零組件業,上櫃
3632,研勤,通信網路業,上櫃
3645,達邁,電子零組件業,上市
3646,艾恩特,電子零組件業,上櫃
3652,精聯,電腦及週邊設備業,上市
3653,健策,電子零組件業,上市
3661,世芯-KY,半導體業,上市
3663,鑫科,其他電子業,上櫃
3664,安瑞-KY,通信網路業,上櫃
3665,貿聯-KY,其他電子業,上市
3666,光耀,光電業,上櫃
3669,圓展,通信網路業,上市
3672,康聯訊,通信網路業,上櫃
3673,TPK-KY,光電業,上市
3675,德微,半導體業,上櫃
3679,新至陞,電子零組件業,上市
3680,家登,半導體業,上櫃
3684,榮昌,通信網路業,上櫃
3685,元創精密,電機機械,上櫃
3686,達能,半導體業,上市
3687,歐買尬,數位雲端,上櫃
3689,湧德,電子零組件業,上櫃
3691,碩禾,光電業,上櫃
3693,營邦,電腦及週邊設備業,上櫃
3694,海華,通信網路業,上市
3701,大眾控,電腦及週邊設備業,上市
3702,大聯大,電子通路業,上市
3703,欣陸,建材營造業,上市
3704,合勤控,通信網路業,上市
3705,永信,生技醫療業,上市
3706,神達,電腦及週邊設備業,上市
3707,漢磊,半導體業,上櫃
3708,上緯投控,綠能環保,上市
3709,鑫聯大投控,電腦及週邊設備業,上櫃
3710,連展投控,電子零組件業,上櫃
3711,日月光投控,半導體業,上市
3712,永崴投控,電腦及週邊設備業,上市
3713,新晶投控,綠能環保,上櫃
3714,富采,光電業,上市
3715,定穎投控,電子零組件業,上市
3716,中化控股,生技醫療業,上市
3717,聯嘉投控,汽車工業,上市
4102,永日,生技醫療業,上櫃
4104,佳醫,生技醫療業,上市
4105,東洋,生技醫療業,上櫃
4106,雃博,生技醫療業,上市
4107,邦特,生技醫療業,上櫃
4108,懷特,生技醫療業,上市
4109,加捷生醫,生技醫療業,上櫃
4111,濟生,生技醫療業,上櫃
4113,聯上,建材營造業,上櫃
4114,健喬,生技醫療業,上櫃
4116,明基醫,生技醫療業,上櫃
4119,旭富,生技醫療業,上市
4120,友華,生技醫療業,上櫃
4121,優盛,生技醫療業,上櫃
4123,晟德,生技醫療業,上櫃
4126,太醫,生技醫療業,上櫃
4127,天良,生技醫療業,上櫃
4128,中天,生技醫療業,上櫃
4129,聯合,生技醫療業,上櫃
4131,浩泰,生技醫療業,上櫃
4133,亞諾法,生技醫療業,上市
4137,麗豐-KY,生技醫療業,上市
4138,曜亞,生技醫療業,上櫃
4139,馬光-KY,生技醫療業,上櫃
4142,國光生,生技醫療業,上市
4147,中裕,生技醫療業,上櫃
4148,全宇生技-KY,生技醫療業,上市
4153,鈺緯,生技醫療業,上櫃
4154,樂威科-KY,其他業,上櫃
4155,訊映,生技醫療業,上市
4157,太景*-KY,生技醫療業,上櫃
4160,訊聯基因,生技醫療業,上櫃
4161,聿新科,生技醫療業,上櫃
4162,智擎,生技醫療業,上櫃
4163,鐿鈦,生技醫療業,上櫃
4164,承業醫,生技醫療業,上市
4166,友霖,生技醫療業,上櫃
4167,松瑞藥,生技醫療業,上櫃
4168,醣聯,生技醫療業,上櫃
4169,泰宗,生技醫療業,上市
4171,瑞基,農業科技業,上櫃
4173,久裕,生技醫療業,上櫃
4174,浩鼎,生技醫療業,上櫃
4175,杏一,生技醫療業,上櫃
4178,永笙-KY,生技醫療業,上市
4183,福永生技,生技醫療業,上櫃
4188,安克,生技醫療業,上櫃
4190,佐登-KY,生技醫療業,上市
4192,杏國,生技醫療業,上櫃
4195,基米-創,生技醫療業,上市
4198,欣大健康,生技醫療業,上櫃
4205,中華食,食品工業,上櫃
4207,環泰,食品工業,上櫃
4303,信立,塑膠工業,上櫃
4304,勝昱,塑膠工業,上櫃
4305,世坤,塑膠工業,上櫃
4306,炎洲,塑膠工業,上市
4401,東隆興,紡織纖維,上櫃
4402,郡都開發,紡織纖維,上櫃
4406,新昕纖,紡織纖維,上櫃
4413,飛寶企業,紡織纖維,上櫃
4414,如興,紡織纖維,上市
4416,三圓,建材營造業,上櫃
4417,金洲,紡織纖維,上櫃
4419,皇家美食,觀光餐旅,上櫃
4420,光明,紡織纖維,上櫃
4426,利勤,紡織纖維,上市
4430,耀億,其他業,上櫃
4432,銘旺實,紡織纖維,上櫃
4433,興采,紡織纖維,上櫃
4438,廣越,紡織纖維,上市
4439,冠星-KY,紡織纖維,上市
4440,宜新實業,紡織纖維,上市
4441,振大環球,紡織纖維,上市
4442,竣邦-KY,紡織纖維,上櫃
4502,健信,電機機械,上櫃
4503,金雨,電機機械,上櫃
4506,崇友,電機機械,上櫃
4510,高鋒,電機機械,上櫃
4513,福裕,電機機械,上櫃
4523,永彰,電機機械,上櫃
4526,東台,電機機械,上市
4527,方土霖,電機機械,上櫃
4528,江興鍛,電機機械,上櫃
4529,淳紳,其他業,上櫃
4530,天意能創,觀光餐旅,上櫃
4532,瑞智,電機機械,上市
4533,協易機,電機機械,上櫃
4534,慶騰,電機機械,上櫃
4535,至興,電機機械,上櫃
4536,拓凱,運動休閒,上市
4538,大詠城,電機機械,上櫃
4540,全球傳動,電機機械,上市
4541,晟田,其他業,上櫃
4542,科嶠,電子零組件業,上櫃
4543,萬在,電機機械,上櫃
4545,銘鈺,電子零組件業,上市
4549,桓達,電機機械,上櫃
4550,長佳,電機機械,上櫃
4551,智伸科,汽車工業,上市
4552,力達-KY,電機機械,上市
4554,橙的,其他電子業,上櫃
4555,氣立,電機機械,上市
4556,旭然,其他業,上櫃
4557,永新-KY,汽車工業,上市
4558,寶緯,電機機械,上櫃
4560,強信-KY,電機機械,上市
4561,健椿,電機機械,上櫃
4562,穎漢,電機機械,上市
4563,百德,電機機械,上櫃
4564,元翎,電機機械,上市
4566,時碩工業,電機機械,上市
4568,科際精密,電機機械,上櫃
4569,六方科-KY,汽車工業,上市
4571,鈞興-KY,電機機械,上市
4572,駐龍,電機機械,上市
4576,大銀微系統,電機機械,上市
4577,達航科技,其他電子業,上櫃
4580,捷流閥業,電機機械,上櫃
4581,光隆精密-KY,汽車工業,上市
4582,聚恆-創,綠能環保,上市
4583,台灣精銳,電機機械,上市
4584,君帆,電機機械,上櫃
4585,達明,其他電子業,上市
4588,玖鼎電力,其他電子業,上市
4590,富田-創,電機機械,上市
4609,唐鋒,居家生活,上櫃
4702,中美實,居家生活,上櫃
4706,大恭,化學工業,上櫃
4707,磐亞,化學工業,上櫃
4711,永純,化學工業,上櫃
4714,永捷,化學工業,上櫃
4716,大立,化學工業,上櫃
4720,德淵,化學工業,上市
4721,美琪瑪,化學工業,上櫃
4722,國精化,化學工業,上市
4726,永昕,生技醫療業,上櫃
4728,雙美,生技醫療業,上櫃
4729,熒茂,光電業,上櫃
4735,豪展,生技醫療業,上櫃
4736,泰博,生技醫療業,上市
4737,華廣,生技醫療業,上市
4739,康普,化學工業,上市
4741,泓瀚,化學工業,上櫃
4743,合一,生技醫療業,上櫃
4744,皇將,生技醫療業,上櫃
4745,合富-KY,生技醫療業,上櫃
4746,台耀,生技醫療業,上市
4747,強生*,生技醫療業,上櫃
4749,新應材,半導體業,上櫃
4754,國碳科,化學工業,上櫃
4755,三福化,化學工業,上市
4760,勤凱,其他電子業,上櫃
4763,材料*-KY,化學工業,上市
4764,雙鍵,化學工業,上市
4766,南寶,化學工業,上市
4767,誠泰科技,化學工業,上櫃
4768,晶呈科技,化學工業,上櫃
4770,上品,化學工業,上市
4771,望隼,生技醫療業,上市
4772,台特化,化學工業,上櫃
4804,大略-KY,觀光餐旅,上櫃
4806,桂田文創,文化創意業,上櫃
4807,日成-KY,貿易百貨業,上市
4903,聯光通,通信網路業,上櫃
4904,遠傳,通信網路業,上市
4905,台聯電,生技醫療業,上櫃
4906,正文,通信網路業,上市
4907,富宇,建材營造業,上櫃
4908,前鼎,通信網路業,上櫃
4909,新復興,通信網路業,上櫃
4911,德英,生技醫療業,上櫃
4912,聯德控股-KY,電子零組件業,上市
4915,致伸,電子零組件業,上市
4916,事欣科,電腦及週邊設備業,上市
4919,新唐,半導體業,上市
4923,力士,半導體業,上櫃
4924,欣厚-KY,綠能環保,上櫃
4927,泰鼎-KY,電子零組件業,上市
4930,燦星網,電器電纜,上市
4931,新盛力,電腦及週邊設備業,上櫃
4933,友輝,光電業,上櫃
4934,太極,光電業,上市
4935,茂林-KY,光電業,上市
4938,和碩,電腦及週邊設備業,上市
4939,亞電,電子零組件業,上櫃
4942,嘉彰,光電業,上市
4943,康控-KY,電子零組件業,上市
4946,辣椒,文化創意業,上櫃
4949,有成精密,光電業,上市
4950,金耘國際,鋼鐵工業,上櫃
4951,精拓科,半導體業,上櫃
4952,凌通,半導體業,上市
4953,緯致,資訊服務業,上櫃
4956,光鋐,光電業,上市
4958,臻鼎-KY,電子零組件業,上市
4960,誠美材,光電業,上市
4961,天鈺,半導體業,上市
4966,譜瑞-KY,半導體業,上櫃
4967,十銓,半導體業,上市
4968,立積,半導體業,上市
4971,IET-KY,半導體業,上櫃
4972,湯石照明,光電業,上櫃
4973,廣穎,半導體業,上櫃
4974,亞泰,電子零組件業,上櫃
4976,佳凌,光電業,上市
4977,眾達-KY,通信網路業,上市
4979,華星光,通信網路業,上櫃
4989,榮科,電子零組件業,上市
4991,環宇-KY,半導體業,上櫃
4994,傳奇,資訊服務業,上市
4995,晶達,光電業,上櫃
4999,鑫禾,電子零組件業,上市
5007,三星,鋼鐵工業,上市
5009,榮剛,鋼鐵工業,上櫃
5011,久陽,鋼鐵工業,上櫃
5013,強新,鋼鐵工業,上櫃
5014,建錩,鋼鐵工業,上櫃
5015,華祺,鋼鐵工業,上櫃
5016,松和,鋼鐵工業,上櫃
5201,凱衛,資訊服務業,上櫃
5202,力新,資訊服務業,上櫃
5203,訊連,資訊服務業,上市
5205,中茂,綠能環保,上櫃
5206,坤悅,建材營造業,上櫃
5209,新鼎,其他業,上櫃
5210,寶碩,資訊服務業,上櫃
5211,蒙恬,資訊服務業,上櫃
5212,凌網,資訊服務業,上櫃
5213,亞昕,建材營造業,上櫃
5215,科嘉-KY,電腦及週邊設備業,上市
5220,萬達光電,光電業,上櫃
5222,全訊,半導體業,上市
5223,安力-KY,電腦及週邊設備業,上櫃
5225,東科-KY,其他電子業,上市
5227,立凱-KY,電子零組件業,上櫃
5228,鈺鎧,電子零組件業,上櫃
5230,雷笛克光學,光電業,上櫃
5234,達興材料,光電業,上市
5236,凌陽創新,半導體業,上市
5243,乙盛-KY,光電業,上市
5244,弘凱,光電業,上市
5245,智晶,光電業,上櫃
5251,天鉞電,光電業,上櫃
5258,虹堡,電腦及週邊設備業,上市
5263,智崴,文化創意業,上櫃
5269,祥碩,半導體業,上市
5272,笙科,半導體業,上櫃
5274,信驊,半導體業,上櫃
5276,達輝-KY,其他業,上櫃
5278,尚凡*,數位雲端,上櫃
5283,禾聯碩,電器電纜,上市
5284,jpp-KY,其他業,上市
5285,界霖,半導體業,上市
5287,數字,數位雲端,上櫃
5288,豐祥-KY,電機機械,上市
5289,宜鼎,電腦及週邊設備業,上櫃
5291,邑昇,電子零組件業,上櫃
5292,華懋,綠能環保,上市
5299,杰力,半導體業,上櫃
5301,寶得利,觀光餐旅,上櫃
5302,太欣,半導體業,上櫃
5306,桂盟,運動休閒,上市
5309,系統電,電子零組件業,上櫃
5310,天剛,資訊服務業,上櫃
5312,寶島科,生技醫療業,上櫃
5314,世紀*,其他業,上櫃
5315,光聯,光電業,上櫃
5321,美而快,數位雲端,上櫃
5324,士開,建材營造業,上櫃
5328,華容,電子零組件業,上櫃
5340,建榮,電子零組件業,上櫃
5344,立衛,半導體業,上櫃
5345,馥鴻,其他業,上櫃
5347,世界,半導體業,上櫃
5348,正能量智能,運動休閒,上櫃
5351,鈺創,半導體業,上櫃
5353,台林,通信網路業,上櫃
5355,佳總,電子零組件業,上櫃
5356,協益,電腦及週邊設備業,上櫃
5364,力麗店,觀光餐旅,上櫃
5371,中光電,光電業,上櫃
5381,光譜,電機機械,上櫃
5386,青雲,電腦及週邊設備業,上櫃
5388,中磊,通信網路業,上市
5392,能率,光電業,上櫃
5398,慕康生醫,其他業,上櫃
5403,中菲,資訊服務業,上櫃
5410,國眾,資訊服務業,上櫃
5425,台半,半導體業,上櫃
5426,振發,電腦及週邊設備業,上櫃
5432,新門,綠能環保,上櫃
5434,崇越,電子通路業,上市
5438,東友,電腦及週邊設備業,上櫃
5439,高技,電子零組件業,上櫃
5443,均豪,半導體業,上櫃
5450,南良,其他業,上櫃
5452,佶優,其他電子業,上櫃
5455,昇益,建材營造業,上櫃
5457,宣德,電子零組件業,上櫃
5460,同協,電子零組件業,上櫃
5464,霖宏,電子零組件業,上櫃
5465,富驊,電腦及週邊設備業,上櫃
5468,凱鈺,半導體業,上櫃
5469,瀚宇博,電子零組件業,上市
5471,松翰,半導體業,上市
5474,聰泰,電腦及週邊設備業,上櫃
5475,德宏,電子零組件業,上櫃
5478,智冠,文化創意業,上櫃
5481,新華,其他業,上櫃
5483,中美晶,半導體業,上櫃
5484,慧友,光電業,上市
5487,通泰,半導體業,上櫃
5488,松普,電子零組件業,上櫃
5489,彩富,其他電子業,上櫃
5490,同亨,電腦及週邊設備業,上櫃
5493,三聯,其他電子業,上櫃
5498,凱崴,電子零組件業,上櫃
5508,永信建,建材營造業,上櫃
5511,德昌,建材營造業,上櫃
5512,力麒,建材營造業,上櫃
5514,三豐,建材營造業,上櫃
5515,建國,建材營造業,上市
5516,雙喜,建材營造業,上櫃
5519,隆大,建材營造業,上市
5520,力泰,建材營造業,上櫃
5521,工信,建材營造業,上市
5522,遠雄,建材營造業,上市
5523,豐謙,建材營造業,上櫃
5525,順天,建材營造業,上市
5529,鉅陞,建材營造業,上櫃
5530,龍巖,其他業,上櫃
5531,鄉林,建材營造業,上市
5533,皇鼎,建材營造業,上市
5534,長虹,建材營造業,上市
5536,聖暉*,其他電子業,上櫃
5538,東明-KY,鋼鐵工業,上市
5543,桓鼎-KY,建材營造業,上櫃
5546,永固-KY,建材營造業,上市
5547,久舜,建材營造業,上櫃
5548,安倉,建材營造業,上櫃
5601,台聯櫃,航運業,上櫃
5603,陸海,航運業,上櫃
5604,中連,其他業,上櫃
5607,遠雄港,航運業,上市
5608,四維航,航運業,上市
5609,中菲行,航運業,上櫃
5701,劍湖山,觀光餐旅,上櫃
5703,亞都,觀光餐旅,上櫃
5704,老爺知,觀光餐旅,上櫃
5706,鳳凰,觀光餐旅,上市
5864,致和證,金融保險業,上櫃
5871,中租-KY,其他業,上市
5876,上海商銀,金融保險業,上市
5878,台名,金融保險業,上櫃
5880,合庫金,金融保險業,上市
5902,德記,居家生活,上櫃
5903,全家,居家生活,上櫃
5904,寶雅*,居家生活,上櫃
5905,南仁湖,觀光餐旅,上櫃
5906,台南-KY,貿易百貨業,上市
5907,大洋-KY,貿易百貨業,上市
6005,群益證,金融保險業,上市
6015,宏遠證,金融保險業,上櫃
6016,康和證,金融保險業,上櫃
6020,大展證,金融保險業,上櫃
6021,美好證,金融保險業,上櫃
6023,元大期,金融保險業,上櫃
6024,群益期,金融保險業,上市
6026,福邦證,金融保險業,上櫃
6028,公勝保經,金融保險業,上櫃
6101,寬魚國際,文化創意業,上櫃
6103,合邦,半導體業,上櫃
6104,創惟,半導體業,上櫃
6108,競國,電子零組件業,上市
6109,亞元,通信網路業,上櫃
6111,光聚晶電,文化創意業,上櫃
6112,邁達特,資訊服務業,上市
6113,亞矽,電子通路業,上櫃
6114,久威,電子零組件業,上櫃
6115,鎰勝,電子零組件業,上市
6116,彩晶,光電業,上市
6117,迎廣,電腦及週邊設備業,上市
6118,建達,電子通路業,上櫃
6120,達運,光電業,上市
6121,新普,電腦及週邊設備業,上櫃
6122,擎邦,電機機械,上櫃
6123,上奇,資訊服務業,上櫃
6124,業強,電子零組件業,上櫃
6125,廣運,電機機械,上櫃
6126,信音,電子零組件業,上櫃
6127,九豪,電子零組件業,上櫃
6128,上福,電腦及週邊設備業,上市
6129,普誠,半導體業,上櫃
6130,上亞科技,生技醫療業,上櫃
6133,金橋,電子零組件業,上市
6134,萬旭,電子零組件業,上櫃
6136,富爾特,通信網路業,上市
6138,茂達,半導體業,上櫃
6139,亞翔,其他電子業,上市
6140,訊達,資訊服務業,上櫃
6141,柏承,電子零組件業,上市
6142,友勁,通信網路業,上市
6143,振曜,通信網路業,上櫃
6144,得利影,文化創意業,上櫃
6146,耕興,其他電子業,上櫃
6147,頎邦,半導體業,上櫃
6148,驊宏資,資訊服務業,上櫃
6150,撼訊,電腦及週邊設備業,上櫃
6151,晉倫,其他電子業,上櫃
6152,百一,通信網路業,上市
6153,嘉聯益,電子零組件業,上市
6154,順發,電子通路業,上櫃
6155,鈞寶,電子零組件業,上市
6156,松上,電子零組件業,上櫃
6158,禾昌,電子零組件業,上櫃
6160,欣技,電腦及週邊設備業,上櫃
6161,捷波,電腦及週邊設備業,上櫃
6163,華電網,資訊服務業,上櫃
6164,華興,光電業,上市
6165,浪凡,數位雲端,上市
6166,凌華,電腦及週邊設備業,上市
6167,久正,光電業,上櫃
6168,宏齊,光電業,上市
6169,昱泉,文化創意業,上櫃
6170,統振,通信網路業,上櫃
6171,大城地產,建材營造業,上櫃
6173,信昌電,電子零組件業,上櫃
6174,安碁,電子零組件業,上櫃
6175,立敦,電子零組件業,上櫃
6176,瑞儀,光電業,上市
6177,達麗,建材營造業,上市
6179,亞通,其他業,上櫃
6180,橘子,文化創意業,上櫃
6182,合晶,半導體業,上櫃
6183,關貿,資訊服務業,上市
6184,大豐電,其他業,上市
6185,幃翔,電子零組件業,上櫃
6186,新潤,建材營造業,上櫃
6187,萬潤,半導體業,上櫃
6188,廣明,電腦及週邊設備業,上櫃
6189,豐藝,電子通路業,上市
6190,萬泰科,通信網路業,上櫃
6191,精成科,電子零組件業,上市
6192,巨路,其他電子業,上市
6194,育富,電子零組件業,上櫃
6195,詩肯,居家生活,上櫃
6196,帆宣,其他電子業,上市
6197,佳必琪,電子零組件業,上市
6198,瑞築,建材營造業,上櫃
6199,天品,其他業,上櫃
6201,亞弘電,其他電子業,上市
6202,盛群,半導體業,上市
6203,海韻電,電子零組件業,上櫃
6204,艾華,電子零組件業,上櫃
6205,詮欣,電子零組件業,上市
6206,飛捷,電腦及週邊設備業,上市
6207,雷科,電子零組件業,上櫃
6208,日揚,半導體業,上櫃
6209,今國光,光電業,上市
6210,慶生,電子零組件業,上櫃
6212,理銘,建材營造業,上櫃
6213,聯茂,電子零組件業,上市
6214,精誠,資訊服務業,上市
6215,和椿,其他電子業,上市
6216,居易,通信網路業,上市
6217,中探針,電子零組件業,上櫃
6218,豪勉,通信網路業,上櫃
6219,富旺,建材營造業,上櫃
6220,岳豐,電子零組件業,上櫃
6221,晉泰,資訊服務業,上櫃
6222,立軒,光電業,上櫃
6223,旺矽,半導體業,上櫃
6224,聚鼎,電子零組件業,上市
6225,天瀚,光電業,上市
6226,光鼎,光電業,上市
6227,茂綸,電子通路業,上櫃
6228,全譜,電腦及週邊設備業,上櫃
6229,研通,半導體業,上櫃
6230,尼得科超眾,電腦及週邊設備業,上市
6231,系微,資訊服務業,上櫃
6233,旺玖,半導體業,上櫃
6234,高僑,光電業,上櫃
6235,華孚,電腦及週邊設備業,上市
6236,中湛,數位雲端,上櫃
6237,驊訊,半導體業,上櫃
6239,力成,半導體業,上市
6240,松崗,資訊服務業,上櫃
6241,鑫永洋,通信網路業,上櫃
6242,立康,生技醫療業,上櫃
6243,迅杰,半導體業,上市
6244,茂迪,光電業,上櫃
6245,立端,通信網路業,上櫃
6246,臺龍,光電業,上櫃
6248,沛波,鋼鐵工業,上櫃
6257,矽格,半導體業,上市
6259,百徽,電子零組件業,上櫃
6261,久元,半導體業,上櫃
6263,普萊德,通信網路業,上櫃
6264,富裔,建材營造業,上櫃
6265,方土昶,電子通路業,上櫃
6266,泰詠,電子零組件業,上櫃
6269,台郡,電子零組件業,上市
6270,倍微,電子通路業,上櫃
6271,同欣電,半導體業,上市
6272,驊陞,電子零組件業,上市
6274,台燿,電子零組件業,上櫃
6275,元山,電子零組件業,上櫃
6276,安鈦克,電腦及週邊設備業,上櫃
6277,宏正,電腦及週邊設備業,上市
6278,台表科,光電業,上市
6279,胡連,電子零組件業,上櫃
6281,全國電,電子通路業,上市
6282,康舒,電子零組件業,上市
6283,淳安,其他電子業,上市
6284,佳邦,電子零組件業,上櫃
6285,啟碁,通信網路業,上市
6290,良維,電子零組件業,上櫃
6291,沛亨,半導體業,上櫃
6292,迅德,電子零組件業,上櫃
6294,智基,文化創意業,上櫃
6405,悅城,光電業,上市
6409,旭隼,其他電子業,上市
6411,晶焱,半導體業,上櫃
6412,群電,電子零組件業,上市
6414,樺漢,電腦及週邊設備業,上市
6415,矽力*-KY,半導體業,上市
6416,瑞祺電通,通信網路業,上市
6417,韋僑,通信網路業,上櫃
6418,詠昇,電子零組件業,上櫃
6419,京晨科,光電業,上櫃
6423,億而得,半導體業,上櫃
6425,易發,電機機械,上櫃
6426,統新,通信網路業,上市
6431,光麗-KY,生技醫療業,上市
6432,今展科,電子零組件業,上櫃
6435,大中,半導體業,上櫃
6438,迅得,其他電子業,上市
6441,廣錠,電腦及週邊設備業,上櫃
6442,光聖,通信網路業,上市
6443,元晶,光電業,上市
6446,藥華藥,生技醫療業,上市
6449,鈺邦,電子零組件業,上市
6451,訊芯-KY,半導體業,上市
6456,GIS-KY,光電業,上市
6461,益得,生技醫療業,上櫃
6462,神盾,半導體業,上櫃
6464,台數科,其他業,上市
6465,威潤,通信網路業,上櫃
6469,大樹,生技醫療業,上櫃
6470,宇智,通信網路業,上櫃
6472,保瑞,生技醫療業,上市
6474,華豫寧,電子通路業,上櫃
6477,安集,光電業,上市
6482,弘煜科,文化創意業,上櫃
6485,點序,半導體業,上櫃
6486,互動,通信網路業,上櫃
6488,環球晶,半導體業,上櫃
6491,晶碩,生技醫療業,上市
6492,生華科,生技醫療業,上櫃
6494,九齊,半導體業,上櫃
6496,科懋,生技醫療業,上櫃
6498,久禾光,光電業,上櫃
6499,益安,生技醫療業,上櫃
6504,南六,其他業,上市
6505,台塑化,油電燃氣業,上市
6506,雙邦,紡織纖維,上櫃
6508,惠光,農業科技業,上櫃
6509,聚和,化學工業,上櫃
6510,精測,半導體業,上櫃
6512,啟發電,其他電子業,上櫃
6515,穎崴,半導體業,上市
6516,勤崴國際,資訊服務業,上櫃
6517,保勝光學,光電業,上櫃
6523,達爾膚,生技醫療業,上櫃
6525,捷敏-KY,半導體業,上市
6526,達發,半導體業,上市
6527,明達醫,生技醫療業,上櫃
6530,創威,通信網路業,上櫃
6531,愛普*,半導體業,上市
6532,瑞耘,半導體業,上櫃
6533,晶心科,半導體業,上市
6534,正瀚-創,生技醫療業,上市
6535,順藥,生技醫療業,上櫃
6538,倉和,電子零組件業,上櫃
6541,泰福-KY,生技醫療業,上市
6542,隆中,文化創意業,上櫃
6546,正基,通信網路業,上櫃
6547,高端疫苗,生技醫療業,上櫃
6548,長科*,半導體業,上櫃
6550,北極星藥業-KY,生技醫療業,上市
6552,易華電,半導體業,上市
6556,勝品,光電業,上櫃
6558,興能高,其他電子業,上市
6560,欣普羅,光電業,上櫃
6561,是方,通信網路業,上櫃
6568,宏觀,半導體業,上櫃
6569,醫揚,生技醫療業,上櫃
6570,維田,電腦及週邊設備業,上櫃
6573,虹揚-KY,半導體業,上市
6574,霈方,生技醫療業,上櫃
6576,逸達,生技醫療業,上櫃
6577,勁豐,電腦及週邊設備業,上櫃
6578,達邦蛋白,農業科技業,上櫃
6579,研揚,電腦及週邊設備業,上市
6581,鋼聯,綠能環保,上市
6582,申豐,橡膠工業,上市
6584,南俊國際,電子零組件業,上櫃
6585,鼎基,其他業,上市
6588,東典光電,通信網路業,上櫃
6589,台康生技,生技醫療業,上市
6590,普鴻,資訊服務業,上櫃
6591,動力-KY,電腦及週邊設備業,上市
6592,和潤企業,其他業,上市
6593,台灣銘板,資訊服務業,上櫃
6596,寬宏藝術,文化創意業,上櫃
6597,立誠,電子零組件業,上櫃
6598,ABC-KY,生技醫療業,上市
6603,富強鑫,電機機械,上櫃
6605,帝寶,汽車工業,上市
6606,建德工業,電機機械,上市
6609,瀧澤科,電機機械,上櫃
6612,奈米醫材,生技醫療業,上櫃
6613,朋億*,其他電子業,上櫃
6614,資拓宏宇,數位雲端,上市
6615,慧智,生技醫療業,上櫃
6616,特昇-KY,居家生活,上櫃
6617,共信-KY,生技醫療業,上櫃
6620,漢達,生技醫療業,上櫃
6624,萬年清,綠能環保,上櫃
6625,必應,其他業,上市
6629,泰金-KY,居家生活,上櫃
6637,醫影,生技醫療業,上櫃
6640,均華,半導體業,上櫃
6641,基士德-KY,綠能環保,上市
6642,富致,電子零組件業,上櫃
6643,M31,半導體業,上櫃
6645,金萬林-創,生技醫療業,上市
6649,台生材,生技醫療業,上櫃
6651,全宇昕,半導體業,上櫃
6654,天正國際,其他電子業,上櫃
6655,科定,其他業,上市
6657,華安,生技醫療業,上市
6658,聯策,其他電子業,上市
6661,威健生技,生技醫療業,上櫃
6662,樂斯科,生技醫療業,上櫃
6664,群翊,電子零組件業,上櫃
6666,羅麗芬-KY,生技醫療業,上市
6667,信紘科,其他電子業,上櫃
6668,中揚光,光電業,上市
6669,緯穎,電腦及週邊設備業,上市
6670,復盛應用,運動休閒,上市
6671,三能-KY,居家生活,上市
6672,騰輝電子-KY,電子零組件業,上市
6674,鋐寶科技,通信網路業,上市
6679,鈺太,半導體業,上櫃
6680,鑫創電子,電腦及週邊設備業,上櫃
6683,雍智科技,半導體業,上櫃
6684,安格,半導體業,上櫃
6689,伊雲谷,數位雲端,上市
6690,安碁資訊,數位雲端,上櫃
6691,洋基工程,其他電子業,上市
6692,進能服,綠能環保,上櫃
6693,廣閎科,半導體業,上櫃
6695,芯鼎,半導體業,上市
6697,東捷資訊,資訊服務業,上櫃
6698,旭暉應材,其他電子業,上市
6703,軒郁,生技醫療業,上櫃
6706,惠特,光電業,上市
6708,天擎,半導體業,上櫃
6712,長聖,生技醫療業,上櫃
6715,嘉基,電子零組件業,上市
6716,應廣,半導體業,上櫃
6719,力智,半導體業,上市
6720,久昌,半導體業,上櫃
6721,信實,其他業,上櫃
