市場,股票代號,英文名稱,原文名稱,中文名稱,信心,備註,成交值排行,市值排行
韓股,033780,KT & G Corporation,KT&G,KT&G,高,台灣媒體慣用英文KT&G；原韓國菸草人蔘公社，在台子公司名「大韓菸草」,,42
韓股,003280,"Heung-A Shipping Co., Ltd",흥아해운,興亞海運,中,依漢字語還原（흥아해운=興亞海運）,43,
韓股,010140,"Samsung Heavy Industries Co., Ltd",삼성중공업,三星重工業,高,亦作「三星重工」,,43
韓股,134580,Topco Media Co.Ltd.,탑코미디어,Topco Media,中,無中文譯名，沿用英文；旗下為웹툰平台탑툰(Toptoon),44,
韓股,278470,"APR Co.,Ltd.",에이피알,APR,高,台灣媒體慣用英文APR；旗下美容儀／美妝品牌 medicube（메디큐브）,,44
韓股,204620,"Global Tax Free Co., Ltd.",글로벌텍스프리,Global Tax Free,中,無中文譯名，沿用英文,45,
韓股,010950,S-Oil Corporation,에쓰오일,S-Oil,高,台灣媒體慣用英文S-Oil；舊稱雙龍煉油,,45
韓股,302430,"Innometry Co., Ltd.",이노메트리,Innometry,中,無中文譯名，沿用英文,46,
韓股,003550,LG Corp,LG,LG,高,LG集團控股公司，台灣媒體慣用英文LG；亦作樂金,,46
韓股,000370,"Hanwha General Insurance Co., Ltd",한화손해보험,韓華損害保險,高,台灣財經媒體慣用譯名，亦作韓華產險,47,
韓股,024110,Industrial Bank Of Korea,IBK기업은행,韓國企業銀行,中,正式名為中小企業銀行，官方中文網用「韓國中小企業銀行」，簡稱IBK,,47
韓股,003530,HANWHA INVESTMENT&SECURITIES Co. Ltd.,한화투자증권,韓華投資證券,高,台灣財經媒體慣用譯名,48,
韓股,003670,"POSCO FUTURE M CO., LTD.",포스코퓨처엠,浦項未來M,低,台灣媒體多直接用英文POSCO Future M；浦項控股旗下電池材料公司，原名浦項化學,,48
韓股,487400,"KNS, Inc.",케이앤에스아이앤씨,KNS I&C,中,無中文譯名，沿用英文；2026年8月新上市，衛星通訊天線廠,49,
韓股,006800,"MIRAE ASSET SECURITIES CO., LTD.",미래에셋증권,未來資產證券,高,在台法人名為「未來資產證券投資信託」,,49
韓股,225190,LK SAMYANG CO. LTD,엘케이삼양,LK三養,中,「삼양」依漢字語還原為三養；原名삼양옵틱스（三養光學）,50,
韓股,035720,Kakao Corp.,카카오,Kakao,高,台灣媒體慣用英文Kakao,,50
韓股,001740,"SK Networks Co., Ltd.",SK네트웍스,SK網絡,高,台灣財經媒體慣用譯名,51,
韓股,079550,LIG Defense&Aerospace,LIG디펜스앤에어로스페이스,LIG Defense & Aerospace（原LIG Nex1）,中,台媒（獨家報導等）慣用英文原名「LIG Nex1」；2026年3月宣布更名、4月14日變更上市為LIG Defense & Aerospace，中文尚無定譯,,51
韓股,137310,"SD Biosensor, Inc.",에스디바이오센서,SD Biosensor,高,台媒直接沿用英文原名,52,
韓股,267250,"HD HYUNDAI CO.,LTD.",HD현대,HD現代,高,原現代重工控股，2023年更名；科技新報、經濟日報等均用「HD現代」,,52
韓股,036540,"SFA Semicon Co., Ltd.",SFA반도체,SFA半導體,中,依漢字語還原（반도체＝半導體）,53,
韓股,086280,"HYUNDAI GLOVIS Co., Ltd.",현대글로비스,現代格羅唯視,中,台媒亦常直接寫「Hyundai Glovis／現代Glovis」；現代汽車集團旗下物流公司,,53
韓股,465770,STX Green Logis Ltd,STX그린로지스,STX Green Logis,中,無中文譯名，沿用英文,54,
韓股,064350,Hyundai Rotem Co.,현대로템,現代樂鐵,高,DIGITIMES、台灣分公司官方粉專均用「現代樂鐵」,,54
韓股,198440,KANGDONG C&L co. Ltd,강동씨앤엘,江東C&L,中,依漢字語還原；前身為고려시멘트（高麗水泥）,55,
韓股,011070,"LG Innotek Co., Ltd",LG이노텍,LG Innotek,高,鉅亨網、ETtoday、MoneyDJ均直接用英文原名；「LG伊諾特」多為中國大陸譯法，台媒罕用,,55
韓股,018880,Hanon Systems,한온시스템,翰昂系統,高,台灣財經媒體慣用譯名,56,
韓股,000720,"Hyundai Engineering & Construction Co., Ltd",현대건설,現代建設,高,Hyundai E&C，現代汽車集團旗下營建公司,,56
韓股,108230,Toptec Corp.,톱텍,Toptec,中,無中文譯名，沿用英文,57,
韓股,272210,"Hanwha Systems Co., Ltd.",한화시스템,韓華系統,高,DIGITIMES、Business Wire中文稿均用「韓華系統」,,57
韓股,462860,Dozn Inc.,더즌,Dozn,中,無中文譯名，沿用英文,58,
韓股,030200,KT Corporation,케이티（KT）,KT,高,台媒多直接寫KT；MoneyDJ標示為「KT Corporation（韓國電信公司）」,,58
韓股,064550,Bioneer Corporation,바이오니아,Bioneer,中,無中文譯名，沿用英文,59,
韓股,047810,"Korea Aerospace Industries, Ltd.",한국항공우주산업,韓國航空宇宙產業（KAI）,高,自由財經等使用「韓國航空宇宙產業」；KF-21戰機製造商,,59
韓股,215600,"SillaJen, Inc.",신라젠,SillaJen,中,無中文譯名，沿用英文（신라＝新羅）,60,
韓股,086520,"Ecopro Co., Ltd.",에코프로,Ecopro,中,台媒（鉅亨、DIGITIMES、MoneyDJ）均用英文原名，無通用中譯；「艾科普洛」非台媒慣用,,60
韓股,126640,"Hwashin Precision Co., Ltd",화신정공,華信精工,中,依漢字語還原,61,
韓股,078930,GS Holdings Corp.,지에스（GS）,GS控股,中,台媒多寫「GS集團」；此為集團控股母公司，旗下有GS加德士(GS Caltex),,61
韓股,101360,"Eco&Dream Co., Ltd.",에코앤드림,Eco&Dream,中,無中文譯名，沿用英文,62,
韓股,247540,"Ecopro BM Co., Ltd.",에코프로비엠,Ecopro BM,高,DIGITIMES、財報狗等台媒均用「EcoPro BM／Ecopro BM」英文原名,,62
韓股,017900,AUK CORP.,광전자,光電子,中,依漢字語還原,63,
韓股,003230,"Samyang Foods Co., Ltd",삼양식품,三養食品,高,火辣雞肉風味炒麵（辣雞麵）製造商,,63
韓股,090710,"Hyulim ROBOT Co., Ltd.",휴림로봇,Hyulim Robot,中,휴림查無對應漢字，沿用英文,64,
韓股,307950,Hyundai Autoever Corp.,현대오토에버,現代Autoever,中,台媒少有中譯，亦常寫「Hyundai AutoEver」；現代汽車集團車用軟體／IT公司,,64
韓股,048410,HYUNDAI BIOSCIENCE CO. LTD.,현대바이오사이언스,現代Bioscience,中,依漢字語還原（현대＝現代），後段為外來語,65,
韓股,071050,KOREA INVESTMENT HOLDINGS CO LTD,한국금융지주,韓國投資控股,中,韓文法定商號為「한국금융지주」（韓國金融控股），英文官方名為Korea Investment Holdings；旗下為韓國投資證券,,65
韓股,351320,Nexa Dynamics Co. Ltd.,넥사다이내믹스,Nexa Dynamics,中,無中文譯名，沿用英文；前身에스에이티이엔지（SAT ENG）,66,
韓股,003490,"Korean Air Lines Co., Ltd.",대한항공,大韓航空,高,2024年底完成併購韓亞航空,,66
韓股,027360,"AJU IB INVESTMENT CO., LTD.",아주IB투자,亞洲IB投資,中,依漢字語還原（아주＝亞洲、투자＝投資）,67,
韓股,323410,KakaoBank Corp.,카카오뱅크,Kakao Bank,高,台媒（經濟日報、工商時報、科技新報）慣用英文原名KakaoBank／Kakao Bank，或稱「南韓純網銀Kakao Bank」,,67
韓股,382800,"GnBS eco Co.,Ltd",지앤비에스 에코,GnBS eco,中,無中文譯名，沿用英文,68,
韓股,005830,DB INSURANCE CO. LTD,DB손해보험,DB損害保險,中,亦作「DB產險」；原東部火災海上保險,,68
韓股,047770,"Codes Combine Co., Ltd",코데즈컴바인,Codes Combine,中,無中文譯名，沿用英文,69,
韓股,005940,NH INVESTMENT & SECURITIES CO.LTD.,NH투자증권,NH投資證券,高,農協金融控股旗下券商,,69
韓股,388050,G2Power Co. Ltd,지투파워,G2Power,中,無中文譯名，沿用英文,70,
韓股,443060,"HD Hyundai Marine Solution Co., Ltd.",HD현대마린솔루션,HD現代Marine Solution,低,台媒尚無定譯，多直接用英文「HD Hyundai Marine Solution」；2024年5月上市，HD現代旗下船舶售後服務公司,,70
韓股,006910,"Bosung Power Technology Co., Ltd.",보성파워텍,寶城Powertec,中,보성依漢字語還原為寶城，後段為外來語,71,
韓股,259960,"Krafton, Inc.",크래프톤,Krafton,高,台媒（鉅亨、科技新報、聯合報遊戲角落、ETtoday）一律用英文原名；《絕地求生PUBG》開發商,,71
韓股,223310,Satoshi Holdings Co. Ltd.,사토시홀딩스,Satoshi Holdings,中,無中文譯名，沿用英文,72,
韓股,028050,SAMSUNG E&A CO. LTD.,삼성E&A（삼성이앤에이）,三星E&A,高,2024年3月由「三星工程（Samsung Engineering）」更名,,72
韓股,253840,"Sugentech, Inc.",수젠텍,Sugentech,中,無中文譯名，沿用英文,73,
韓股,090430,Amorepacific Corp.,아모레퍼시픽,愛茉莉太平洋,高,台灣子公司登記名即為「愛茉莉太平洋股份有限公司」,,73
韓股,222040,COSMAX NBT INC.,코스맥스엔비티,科絲美詩NBT,中,COSMAX集團中文名為科絲美詩,74,
韓股,0126Z0,"Samsung Epis Holdings Co., Ltd.",삼성에피스홀딩스,三星Epis控股,低,2025年11月自三星生物製劑（Samsung Biologics）人的分割新設並同步上市，持有三星Bioepis；台媒尚無定譯,,74
韓股,050890,SOLiD Inc.,쏠리드,SOLiD,中,無中文譯名，沿用英文,75,
韓股,047050,POSCO INTERNATIONAL Corporation,포스코인터내셔널,浦項國際,高,在台設有「韓商浦項國際股份有限公司台灣分公司」；原大宇國際,,75
韓股,058730,"Development Advance Solution Co., Ltd",다스코,DASCO,中,韓文社名為다스코（DASCO），無中文譯名，沿用英文,76,
韓股,277810,"Rainbow Robotics, Inc.",레인보우로보틱스,Rainbow Robotics,高,台媒（科技新報、鉅亨、工商時報、ETtoday、MoneyDJ、自由財經）一律沿用英文原名，未見中譯,,76
韓股,077500,Uniquest Corporation,유니퀘스트,Uniquest,中,無中文譯名，沿用英文,77,
韓股,180640,HANJIN KAL Corp.,한진칼,韓進KAL,中,한진＝韓進，KAL為大韓航空代碼；台媒多寫「韓進集團控股公司」，專名少見，依漢字語還原,,77
韓股,046970,"WOORIRO CO., LTD.",우리로,Wooriro,中,우리為固有語無漢字，沿用英文,78,
韓股,006260,LS Corp.,"LS（엘에스, LS주식회사）",LS集團,中,經濟日報作「韓國LS集團」、工商時報作「LS公司」；鉅亨個股頁作「LS株式會社」,,78
韓股,005880,Korea Line Corporation,대한해운,大韓海運,高,台灣財經媒體慣用譯名,79,
韓股,007660,"ISU Petasys Co., Ltd.",이수페타시스,梨樹飛達,中,鉅亨、經濟日報報導泰鼎合資案時作「韓PCB廠梨樹飛達」；工商時報與MoneyDJ多直接寫 ISU Petasys,,79
韓股,222080,"SFA NEXEL Co., Ltd.",SFA넥셀,SFA Nexel,中,無中文譯名，沿用英文,80,
韓股,161390,"HANKOOK TIRE & TECHNOLOGY Co., Ltd.",한국타이어앤테크놀로지,韓泰輪胎,高,台灣子公司官方中文名即「韓泰輪胎」，經濟日報、工商時報、自由時報、udn一致採用,,80
韓股,121850,"KOYJ CO., LTD.",코이즈,KOYJ,中,無中文譯名，沿用英文,81,
韓股,047040,"Daewoo Engineering & Construction Co., Ltd",대우건설,大宇建設,高,大宇集團為台媒慣用譯名；鉅亨個股頁誤植為「大宇建設機械公司」,,81
韓股,018000,Unison Co Ltd,유니슨,Unison,中,無中文譯名，沿用英文,82,
韓股,036930,"Jusung Engineering Co., Ltd",주성엔지니어링,周星工程,中,依漢字語還原（주성＝周星）；台媒報導多直接寫 Jusung Engineering,,82
韓股,243840,"SHIN HEUNG ENERGY & ELECTRONICS Co., Ltd.",신흥에스이씨,新興SEC,中,依漢字語還原,83,
韓股,016360,"Samsung Securities Co., Ltd.",삼성증권,三星證券,高,鉅亨個股頁作「三星證券株式會社」,,83
韓股,142280,GC Medical Science Corporation,녹십자엠에스,綠十字MS,中,依漢字語還原（녹십자＝綠十字）,84,
韓股,352820,"HYBE Co., Ltd.",하이브,HYBE,高,鉅亨、工商時報、MoneyDJ、ETtoday、中央社皆用英文原名，常稱「BTS經紀公司HYBE」,,84
韓股,072770,MemRAY BT Co. LTD.,멤레이비티,MemRAY BT,中,無中文譯名，沿用英文；前身為율호,85,
韓股,064400,"LG CNS Co., Ltd.",LG씨엔에스（LG CNS）,LG CNS,中,台媒沿用英文原名，無中譯,,85
韓股,042510,"RaonSecure Co., Ltd.",라온시큐어,RaonSecure,中,라온為固有語無漢字，沿用英文,86,
韓股,009830,HANWHA SOLUTIONS CORPORATION,한화솔루션,韓華思路信,中,「韓華思路信」為公司官方中文名；台媒多逕稱「韓華」，旗下太陽能品牌寫作「韓華Qcells」；鉅亨個股頁仍用舊名「韓華石油化學」,,86
韓股,032580,"Fidelix Co., Ltd",피델릭스,Fidelix,中,無中文譯名，沿用英文,87,
韓股,039490,"Kiwoom Securities Co., Ltd",키움증권,Kiwoom證券,中,키움為純韓語（無對應漢字）；MoneyDJ、鉅亨均用 KIWOOM Securities,,87
韓股,393890,"W-SCOPE CHUNGJU PLANT Co., Ltd.",더블유씨피,WCP,中,韓文社名為더블유씨피（WCP），沿用英文；忠州廠,88,
韓股,021240,"Coway Co., Ltd.",코웨이,Coway,高,台灣以「韓國Coway」行銷，udn、ETtoday、經濟日報皆用英文原名；舊稱熊津Coway（웅진코웨이）,,88
韓股,025860,Namhae Chemical Corporation,남해화학,南海化學,中,依漢字語還原,89,
韓股,326030,"SK Biopharmaceuticals Co., Ltd.",SK바이오팜,SK生物製藥,中,科技新報等台媒多直接寫 SK Biopharm／SK Biopharmaceuticals，「SK生物製藥」為通行意譯,,89
韓股,192650,"Dreamtech Co., Ltd.",드림텍,Dreamtech,中,無中文譯名，沿用英文,90,
韓股,267270,"HD Construction Equipment Co., Ltd.",HD건설기계,HD建設機械,中,2026年1月由HD現代建設機械與HD現代인프라코어合併更名為HD건설기계；台媒對同集團公司寫法為「HD現代電氣」，本檔依漢字語還原,,90
韓股,192410,ONEUL E&M co.Ltd.,오늘이엔엠,ONEUL E&M,中,오늘為固有語無漢字，沿用英文；前身휴림네트웍스,91,
韓股,128940,"Hanmi Pharmaceutical Co., Ltd.",한미약품,韓美藥品,高,漢字語直接對應（한미＝韓美、약품＝藥品）,,91
韓股,483350,Dealicious Inc.,딜리셔스,Dealicious,中,無中文譯名，沿用英文,92,
韓股,000880,Hanwha Corp,한화,韓華,中,鉅亨個股頁作「韓華企業」；台媒多稱「韓華集團」，所指即此控股暨貿易母公司,,92
韓股,365660,Lemon Healthcare Co.,레몬헬스케어,Lemon Healthcare,中,無中文譯名，沿用英文,93,
韓股,377300,kakaopay Corp.,카카오페이,Kakao Pay,高,經濟日報、鉅亨、MoneyDJ、科技新報一致寫 Kakao Pay，亦稱「韓國版支付寶」,,93
韓股,441270,"Fine M-Tec Co.,Ltd.",파인엠텍,Fine M-Tec,中,無中文譯名，沿用英文,94,
韓股,032640,LG Uplus Corp,LG유플러스,LG U+,高,經濟日報、自由時報、udn作「LG U+」或「LGU+」；鉅亨個股頁仍用舊名「LG移動電話（LG TeleCom）」,,94
韓股,265740,NFC Corporation,엔에프씨,NFC,中,無中文譯名，沿用英文,95,
韓股,062040,"Sanil Electric Co., Ltd.",산일전기,山一電氣,中,依漢字語還原（전기＝電氣）；台媒無中譯，MoneyDJ與科技新報用 Sanil Electric，亦有作「山一電機」,,95
韓股,094480,GalaxiaMoneytree Co. Ltd,갤럭시아머니트리,GalaxiaMoneytree,中,無中文譯名，沿用英文,96,
韓股,000500,"Gaon Cable Co., Ltd.",가온전선,Gaon Cable,中,「가온」為純韓語（意為中央）無對應漢字，台媒無譯名故採英文原名；「전선」漢字為電線，陸媒音譯作「加溫電線」,,96
韓股,289080,SV INVESTMENT Corp.,SV인베스트먼트,SV Investment,中,無中文譯名，沿用英文,97,
韓股,241560,Doosan Bobcat Inc.,두산밥캣,斗山Bobcat,中,udn、MoneyDJ直接寫 Doosan Bobcat；두산＝斗山，밥캣為Bobcat音譯，中文圈亦見「斗山山貓」,,97
韓股,038500,SAMPYO Cement Co. Ltd.,삼표시멘트,三表水泥,高,台灣財經媒體慣用譯名（삼표＝三表）,98,
韓股,000100,Yuhan Corporation,유한양행,柳韓洋行,高,公司漢字正名即「柳韓洋行」,,98
韓股,279570,"K Bank Co., Ltd.",케이뱅크,K Bank,高,台媒多沿用英文原名K Bank（韓國網路銀行）,99,
韓股,001440,"Taihan Cable & Solution Co., Ltd.",대한전선,大韓電線,高,MoneyDJ條目作「Taihan Electric Wire，大韓電線」；韓文社名未變，2021年英文名改為Taihan Cable & Solution,,99
韓股,031330,"SAMT Co., Ltd.",에스에이엠티,SAMT,中,無中文譯名，沿用英文,100,
韓股,240810,"Wonik IPS Co., Ltd.",원익IPS,元益IPS,中,依漢字語還原（원익＝元益）；台媒多直接寫 Wonik IPS,,100
韓股,028300,"HLB Co., Ltd.",에이치엘비,HLB,高,台媒（MoneyDJ 等）一律直接寫英文原名 HLB，無中譯；韓文上市名為諺文音譯。抗癌藥 rivoceranib（리보세라닙）開發商；手動補登,,
韓股,001210,"Kumho Electric, Inc.",금호전기,錦湖電機,高,MoneyDJ 財經百科作「錦湖電機」；漢字語直接對應，與台媒對금호的譯法「錦湖」一致；手動補登,,
韓股,002990,"KUMHO Engineering & Construction Co., Ltd.",금호건설,錦湖建設,中,依漢字語還原；2021 年由 금호산업（錦湖產業）更名為 금호건설，台媒無個別譯名；手動補登,,
美股,SNDK,Sandisk Corporation,SanDisk Corporation,SanDisk,高,台媒（工商時報、自由財經、鉅亨網）直接用英文原名 SanDisk；消費通路另用「晟碟」。2025 年自威騰電子（Western Digital）分拆獨立上市,1,
美股,NVDA,NVIDIA Corporation,NVIDIA Corporation,輝達,高,台灣官方及媒體統一用「輝達」，非中國的「英偉達」,2,
美股,TSLA,"Tesla, Inc.","Tesla, Inc.",特斯拉,高,,3,
美股,MU,"Micron Technology, Inc.","Micron Technology, Inc.",美光,高,台灣子公司名為台灣美光,4,
美股,MSFT,Microsoft Corporation,Microsoft Corporation,微軟,高,,5,
美股,AAPL,Apple Inc.,Apple Inc.,蘋果,高,,6,
美股,AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",亞馬遜,高,,7,
美股,SPCX,Space Exploration Technologies Corp,Space Exploration Technologies Corp.,SpaceX,高,台媒（自由財經、商周、鉅亨）一律寫 SpaceX，偶用「太空探索科技公司」；2026 年 6 月掛牌,8,
美股,AVGO,Broadcom Inc.,Broadcom Inc.,博通,高,,9,
美股,GOOG,Alphabet Inc. Class C,Alphabet Inc.,Alphabet,高,台媒常寫「Google 母公司 Alphabet」，母公司層級不譯中文,10,
美股,META,Meta Platforms Inc Class A,"Meta Platforms, Inc.",Meta,高,台媒用英文原名 Meta，會加註「臉書母公司」,11,
美股,AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",超微,高,全稱「超微半導體」,12,
美股,INTC,Intel Corporation,Intel Corporation,英特爾,高,,13,
美股,CRM,"Salesforce, Inc.","Salesforce, Inc.",Salesforce,高,台媒用英文原名；「賽富時」為中國譯名，台灣不用,14,
美股,MRVL,"Marvell Technology, Inc.","Marvell Technology, Inc.",邁威爾,高,全稱「邁威爾科技」,15,
美股,PLTR,Palantir Technologies Inc. Class A,Palantir Technologies Inc.,Palantir,高,台媒新聞用英文原名；鉅亨個股頁作「帕蘭提爾科技」,16,
美股,CRWD,"CrowdStrike Holdings, Inc. Class A","CrowdStrike Holdings, Inc.",CrowdStrike,高,台媒用英文原名，鉅亨個股頁作「CrowdStrike 控股」,17,
美股,NOW,"ServiceNow, Inc.","ServiceNow, Inc.",ServiceNow,高,台媒用英文原名,18,
美股,WMT,Walmart Inc.,Walmart Inc.,沃爾瑪,高,,19,
美股,LLY,Eli Lilly and Company,Eli Lilly and Company,禮來,高,全稱「美國禮來大藥廠」,20,
美股,DELL,"Dell Technologies, Inc. Class C",Dell Technologies Inc.,戴爾,高,全稱「戴爾科技」,21,
美股,PANW,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",Palo Alto Networks,高,台媒用英文原名，中文多寫「資安大廠 Palo Alto Networks」,22,
美股,MSTR,Strategy Inc Class A,Strategy Inc.,微策略,高,原名 MicroStrategy，2025 年更名 Strategy；台媒（鉅亨、動區）仍慣稱「微策略」，新聞中亦直接寫 Strategy,23,
美股,GEV,GE Vernova Inc.,GE Vernova Inc.,GE Vernova,中,2024 年自奇異（GE）分拆；台媒多保留英文原名，少數寫「奇異維諾瓦」或「奇異能源事業」,24,
美股,XOM,Exxonmobil Holdings Corporation,ExxonMobil Holdings Corporation,埃克森美孚,高,2026 年完成遷冊德州、改為控股公司架構，中文名不變；台媒亦見「艾克森美孚」,25,
美股,LITE,"Lumentum Holdings, Inc.","Lumentum Holdings, Inc.",Lumentum,高,台媒（鉅亨焦點股、永豐）用英文原名，稱美系光通訊大廠,26,
美股,STX,Seagate Technology Holdings PLC,Seagate Technology Holdings plc,希捷,高,,27,
美股,JPM,JPMorgan Chase & Co.,JPMorgan Chase & Co.,摩根大通,高,,28,
美股,AMAT,"Applied Materials, Inc.","Applied Materials, Inc.",應用材料,高,簡稱「應材」,29,
美股,BAC,Bank of America Corp,Bank of America Corporation,美國銀行,高,,30,
美股,WDC,Western Digital Corporation,Western Digital Corporation,威騰電子,高,簡稱「威騰」,31,
美股,MRNA,"Moderna, Inc.","Moderna, Inc.",莫德納,高,,32,
美股,V,Visa Inc. Class A,Visa Inc.,Visa,高,台媒用英文原名 Visa，不譯中文,33,
美股,NFLX,"Netflix, Inc.","Netflix, Inc.",Netflix,高,台媒新聞多寫 Netflix，鉅亨個股頁作「網飛」,34,
美股,CVX,Chevron Corporation,Chevron Corporation,雪佛龍,高,,35,
美股,CAT,Caterpillar Inc.,Caterpillar Inc.,開拓重工,中,鉅亨新聞與財報狗用「開拓重工」，鉅亨個股頁與 MoneyDJ 用「卡特彼勒」，兩者台媒皆見,36,
美股,ORCL,Oracle Corporation,Oracle Corporation,甲骨文,高,,37,
美股,HWM,Howmet Aerospace Inc.,Howmet Aerospace Inc.,Howmet 航太,中,鉅亨個股頁作「Howmet航太」；台媒新聞多直接寫 Howmet Aerospace，尚無統一中譯,38,
美股,CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.",思科,高,,39,
美股,COST,Costco Wholesale Corporation,Costco Wholesale Corporation,好市多,高,,40,
美股,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,聯合健康,高,全稱「聯合健康集團」,41,
美股,NBIS,Nebius Group N.V. Class A,Nebius Group N.V.,Nebius,高,台媒（鉅亨、MoneyDJ）用英文原名 Nebius；前身為俄羅斯 Yandex N.V.,42,
美股,QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,高通,高,,43,
美股,SLB,SLB Limited,SLB Limited,斯倫貝謝,中,原名 Schlumberger，2022 年改用 SLB 品牌；鉅亨、永豐用「斯倫貝謝」，台媒新聞常直接寫 SLB,44,
美股,KO,Coca-Cola Company,The Coca-Cola Company,可口可樂,高,,45,
美股,NEM,Newmont Corporation,Newmont Corporation,紐蒙特,高,鉅亨個股頁作「紐蒙特」，全球最大金礦商,46,
美股,JNJ,Johnson & Johnson,Johnson & Johnson,嬌生,高,,47,
美股,LRCX,Lam Research Corporation,Lam Research Corporation,科林研發,高,台灣官方譯名，非中國的「拉姆研究」,48,
美股,BE,Bloom Energy Corporation Class A,Bloom Energy Corporation,Bloom Energy,中,台媒新聞多用英文原名並稱「燃料電池大廠」；鉅亨個股頁作「布魯姆能源」,49,
美股,SUNB,Sunbelt Rentals Holdings Inc,"Sunbelt Rentals Holdings, Inc.",Sunbelt Rentals,低,原英國 Ashtead Group plc，2026 年遷冊美國並更名，於紐約證交所掛牌；台媒尚無固定中譯，多寫英文原名或「設備租賃商 Sunbelt Rentals」,50,
美股,PCG,PG&E Corporation,PG&E Corporation,太平洋瓦電,高,台灣媒體與維基多稱「太平洋瓦電」；鉅亨網作「太平洋電力瓦斯」，多數新聞直接寫 PG&E,51,
美股,ATI,ATI Inc,ATI Inc. (原 Allegheny Technologies Incorporated),ATI,中,台媒無通用中譯，沿用英文；MoneyDJ、鉅亨皆保留 ATI Inc.，中國譯「冶聯科技」台灣不用,52,
美股,COIN,"Coinbase Global, Inc. Class A","Coinbase Global, Inc.",Coinbase,高,台媒（鉅亨、經濟日報）慣用英文原名 Coinbase,53,
美股,CRS,Carpenter Technology Corporation,Carpenter Technology Corporation,卡本特科技,中,MoneyDJ 譯「卡本特科技」，鉅亨網作「卡朋特科技」，兩者並用,54,
美股,CRCL,"Circle Internet Group, Inc. Class A","Circle Internet Group, Inc.",Circle,高,USDC 發行商；台媒（鉅亨、數位時代）一律寫英文 Circle,55,
美股,NVT,nVent Electric plc,nVent Electric plc,nVent Electric,中,台媒無通用中譯，沿用英文；鉅亨、CMoney 皆保留英文原名,56,
美股,MA,Mastercard Incorporated Class A,Mastercard Incorporated,萬事達卡,高,台灣媒體標準用法,57,
美股,TYL,"Tyler Technologies, Inc.","Tyler Technologies, Inc.",泰勒科技,中,MoneyDJ 譯「泰勒科技公司」，鉅亨網保留英文,58,
美股,PG,Procter & Gamble Company,The Procter & Gamble Company,寶僑,高,台灣用「寶僑」（寶僑家品），非中國的「寶潔」,59,
美股,HOOD,"Robinhood Markets, Inc. Class A","Robinhood Markets, Inc.",Robinhood,高,台媒慣用英文原名 Robinhood,60,
美股,WFC,Wells Fargo & Company,Wells Fargo & Company,富國銀行,高,台灣媒體標準用法,61,
美股,MRK,"Merck & Co., Inc.","Merck & Co., Inc.",默克,高,鉅亨網作「默克藥廠」；醫藥業界與 MoneyDJ 稱「默沙東（MSD）」以區別德國默克,62,
美股,LULU,lululemon athletica inc.,lululemon athletica inc.,lululemon,高,台媒慣用英文小寫原名 lululemon,63,
美股,TJX,TJX Companies Inc,"The TJX Companies, Inc.",TJX,高,台媒慣用英文原名 TJX（旗下 T.J.Maxx、Marshalls）,64,
美股,HPE,Hewlett Packard Enterprise Co.,Hewlett Packard Enterprise Company,慧與科技,高,台灣正式中文名「慧與科技」，台媒亦常直接寫 HPE,65,
美股,APP,AppLovin Corp. Class A,AppLovin Corporation,AppLovin,高,台媒慣用英文原名 AppLovin,66,
美股,TRMB,Trimble Inc.,Trimble Inc.,天寶,中,鉅亨作「天寶導航」、MoneyDJ 作「天寶公司」，台灣代理商稱「天寶 Trimble」,67,
美股,ADBE,Adobe Inc.,Adobe Inc.,Adobe,高,台媒慣用英文原名 Adobe,68,
美股,IONQ,"IonQ, Inc.","IonQ, Inc.",IonQ,高,台媒慣用英文原名 IonQ（量子運算）,69,
美股,WMB,"Williams Companies, Inc.","The Williams Companies, Inc.",威廉斯,高,鉅亨作「威廉斯」、MoneyDJ 作「威廉斯公司」；非中國的「威廉姆斯」,70,
美股,GGG,Graco Inc.,Graco Inc.,固瑞克,高,MoneyDJ 與公司官方中文名皆為「固瑞克」,71,
美股,TTWO,"Take-Two Interactive Software, Inc.","Take-Two Interactive Software, Inc.",Take-Two,高,台媒慣用英文原名 Take-Two（GTA 開發商）,72,
美股,GE,GE Aerospace,GE Aerospace (法人名 General Electric Company),奇異航太,高,台灣沿用「奇異」品牌，分拆後稱「奇異航太」,73,
美股,TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,德州儀器,高,台灣媒體標準用法,74,
美股,IREN,IREN Limited,IREN Limited,IREN,高,台媒無通用中譯，沿用英文；經濟日報、科技新報、鉅亨皆寫 IREN（原 Iris Energy）,75,
美股,SNOW,"Snowflake, Inc.",Snowflake Inc.,Snowflake,高,台媒慣用英文原名 Snowflake,76,
美股,IBM,International Business Machines Corporation,International Business Machines Corporation,IBM,高,台媒慣用英文縮寫 IBM；正式中譯「國際商業機器」僅見於鉅亨報價頁,77,
美股,GLW,Corning Inc,Corning Incorporated,康寧,高,台灣媒體標準用法,78,
