清單,排名,股票代號,英文名稱,原文名稱,中文名稱,信心,備註
韓股市值前50（補充）,4,009150,"Samsung Electro-Mechanics Co., Ltd",삼성전기,三星電機,高,MLCC大廠，工商時報／科技新報均用此名
韓股市值前50（補充）,5,005380,Hyundai Motor Company,현대자동차,現代汽車,高,
韓股市值前50（補充）,6,373220,LG Energy Solution Ltd.,LG에너지솔루션,LG新能源,中,鉅亨網現多用「LG新能源」，早期IPO時亦寫「LG能源解決方案」
韓股市值前50（補充）,7,207940,"SAMSUNG BIOLOGICS Co., Ltd.",삼성바이오로직스,三星生物製劑,高,亦簡稱「三星生物」
韓股市值前50（補充）,8,012450,"Hanwha Aerospace Co., Ltd.",한화에어로스페이스,韓華航太,高,中時、中央廣播電台用「韓華航太」；MoneyDJ作「韓華航空航太」
韓股市值前50（補充）,9,028260,SAMSUNG C&T CORP,삼성물산,三星物產,高,在台子公司名為「台灣國際三星物產」
韓股市值前50（補充）,10,105560,KB Financial Group Inc.,KB금융지주,KB金融集團,高,旗下為韓國國民銀行(KB Kookmin Bank)
韓股市值前50（補充）,11,034020,"Doosan Enerbility Co., Ltd.",두산에너빌리티,斗山能源,高,科技新報用「斗山能源」；舊稱斗山重工業
韓股市值前50（補充）,12,032830,"Samsung Life Insurance Co., Ltd.",삼성생명보험,三星生命保險,高,亦簡稱「三星生命」
韓股市值前50（補充）,13,055550,"Shinhan Financial Group Co., Ltd.",신한금융지주회사,新韓金融集團,高,旗下為新韓銀行
韓股市值前50（補充）,14,000270,Kia Corporation,기아,起亞汽車,高,台灣車界多直接寫Kia；舊名기아자동차
韓股市值前50（補充）,15,329180,"HD Hyundai Heavy Industries Co., Ltd.",HD현대중공업,HD現代重工業,高,大紀元等中文媒體用「HD現代重工業」
韓股市值前50（補充）,16,006400,"Samsung SDI Co., Ltd",삼성SDI,三星SDI,高,
韓股市值前50（補充）,17,068270,"Celltrion, Inc.",셀트리온,賽特瑞恩,高,中央社、工商時報用「賽特瑞恩」；亦常直接寫Celltrion
韓股市值前50（補充）,18,012330,"Hyundai Mobis Co., Ltd",현대모비스,現代摩比斯,高,
韓股市值前50（補充）,19,086790,Hana Financial Group Inc.,하나금융지주,韓亞金融集團,高,旗下韓亞銀行已在台設分行（鉅亨網）
韓股市值前50（補充）,20,066570,LG Electronics Inc.,LG전자,LG電子,高,在台法人名為「台灣樂金電器」
韓股市值前50（補充）,21,035420,NAVER Corp.,네이버,NAVER,高,台灣媒體慣用英文原名NAVER／Naver
韓股市值前50（補充）,22,010120,"LS Electric Co., Ltd.",LS일렉트릭,LS電氣,中,大紀元、台灣子公司均用「LS電氣」；舊稱LS產電
韓股市值前50（補充）,23,034730,SK Inc.,SK주식회사,SK,中,SK集團控股公司，台媒多寫「SK集團」或直接用SK Inc.
韓股市值前50（補充）,24,298040,Hyosung Heavy Industries Corp.,효성중공업,曉星重工,高,聯合新聞網、獨家報導用「曉星重工」
韓股市值前50（補充）,25,267260,HD Hyundai Electric,HD현대일렉트릭,HD現代電氣,中,韓文為外來語音譯，中文媒體多寫「HD現代電氣」或保留英文
韓股市值前50（補充）,26,010130,"Korea Zinc Co., Ltd.",고려아연,高麗鋅,高,
韓股市值前50（補充）,27,042660,"Hanwha Ocean Co., Ltd.",한화오션,韓華海洋,高,原大宇造船海洋，2023年改名
韓股市值前50（補充）,28,000810,"Samsung Fire & Marine Insurance Co., Ltd",삼성화재해상보험,三星火災海上保險,高,亦簡稱「三星火災」
韓股市值前50（補充）,29,009540,HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO. LTD.,HD한국조선해양,HD韓國造船海洋,高,亦簡稱「韓國造船海洋」
韓股市值前50（補充）,30,005490,POSCO Holdings Inc.,POSCO홀딩스,浦項鋼鐵控股,高,鉅亨網美股頁面即用此名；亦作POSCO控股
韓股市值前50（補充）,31,316140,"Woori Financial Group, Inc.",우리금융지주,友利金融集團,高,MoneyDJ用「友利金融集團」
韓股市值前50（補充）,32,196170,ALTEOGEN Inc.,알테오젠,Alteogen,中,台灣生技媒體（GeneOnline等）直接用英文，尚無通用中譯
韓股市值前50（補充）,33,015760,Korea Electric Power Corporation,한국전력공사,韓國電力公社,高,簡稱韓電／KEPCO
韓股市值前50（補充）,34,042700,"Hanmi Semiconductor Co., Ltd",한미반도체,韓美半導體,高,鉅亨網用「韓美半導體」；HBM鍵合機大廠
韓股市值前50（補充）,35,017670,"SK Telecom Co., Ltd.",SK텔레콤,SK電訊,高,
韓股市值前50（補充）,36,051910,LG Chem Ltd.,LG화학,LG化學,高,在台法人名為「台灣樂金化學」
韓股市值前50（補充）,37,011200,"HMM CO.,LTD",HMM,HMM,高,台灣媒體慣用英文HMM；舊稱現代商船，維基作韓新遠洋船務
韓股市值前50（補充）,38,138040,Meritz Financial Group Inc.,메리츠금융지주,美瑞茲金融集團,中,MoneyDJ譯名；台灣新聞多直接寫Meritz
韓股市值前50（補充）,39,096770,"SK Innovation Co., Ltd",SK이노베이션,SK創新,高,自由財經、鉅亨網用「SK創新」
韓股市值前50（補充）,40,018260,"SAMSUNG SDS CO., LTD.",삼성에스디에스,三星SDS,高,
韓股市值前50（補充）,41,000150,Doosan Corporation,두산,斗山,中,斗山集團控股母公司，台媒多寫「斗山」或「斗山集團」
韓股市值前50（補充）,42,033780,KT & G Corporation,KT&G,KT&G,高,台灣媒體慣用英文KT&G；原韓國菸草人蔘公社，在台子公司名「大韓菸草」
韓股市值前50（補充）,43,010140,"Samsung Heavy Industries Co., Ltd",삼성중공업,三星重工業,高,亦作「三星重工」
韓股市值前50（補充）,44,278470,"APR Co.,Ltd.",에이피알,APR,高,台灣媒體慣用英文APR；旗下美容儀／美妝品牌 medicube（메디큐브）
韓股市值前50（補充）,45,010950,S-Oil Corporation,에쓰오일,S-Oil,高,台灣媒體慣用英文S-Oil；舊稱雙龍煉油
韓股市值前50（補充）,46,003550,LG Corp,LG,LG,高,LG集團控股公司，台灣媒體慣用英文LG；亦作樂金
韓股市值前50（補充）,47,024110,Industrial Bank Of Korea,IBK기업은행,韓國企業銀行,中,正式名為中小企業銀行，官方中文網用「韓國中小企業銀行」，簡稱IBK
韓股市值前50（補充）,48,003670,"POSCO FUTURE M CO., LTD.",포스코퓨처엠,浦項未來M,低,台灣媒體多直接用英文POSCO Future M；浦項控股旗下電池材料公司，原名浦項化學
韓股市值前50（補充）,49,006800,"MIRAE ASSET SECURITIES CO., LTD.",미래에셋증권,未來資產證券,高,在台法人名為「未來資產證券投資信託」
韓股市值前50（補充）,50,035720,Kakao Corp.,카카오,Kakao,高,台灣媒體慣用英文Kakao
